Student ID,Student ID,Week 1 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 2 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 3 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 4 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 5 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 7 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 8 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 9 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 10 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 11 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 12 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Week 13 Tutorial Points Grade <Numeric MaxPoints:1 Weight:8.33333334 Category:Tutorial Attendance CategoryWeight:5>,Tutorial Attendance Subtotal Numerator,Tutorial Attendance Subtotal Denominator,Week 2 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 3 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 4 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 5 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 7 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 9 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 8 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 10 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 11 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 12 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Week 13 Worksheet Points Grade <Numeric MaxPoints:1 Weight:9.0909091 Category:Worksheets CategoryWeight:5>,Worksheets Subtotal Numerator,Worksheets Subtotal Denominator,Week 1 Critical Thinking Question Points Grade <Numeric MaxPoints:8 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 2 Critical Thinking Question Points Grade <Numeric MaxPoints:8 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 3 Critical Thinking Question Points Grade <Numeric MaxPoints:15 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 4 Critical Thinking Question Points Grade <Numeric MaxPoints:15 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 7 Critical Thinking Question Points Grade <Numeric MaxPoints:12 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 8 Critical Thinking Question Points Grade <Numeric MaxPoints:13 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 9 Critical Thinking Question Points Grade <Numeric MaxPoints:9 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 10 Critical Thinking Question Points Grade <Numeric MaxPoints:10 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 11 Critical Thinking Question Points Grade <Numeric MaxPoints:10 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 12 Critical Thnking Question Points Grade <Numeric MaxPoints:20 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Week 13 Critical Thinking Question Points Grade <Numeric MaxPoints:17 Weight:9.090909093 Category:Critical Thinking Questions CategoryWeight:15>,Critical Thinking Questions Subtotal Numerator,Critical Thinking Questions Subtotal Denominator,Midterm Oct 19 Points Grade <Numeric MaxPoints:40 Weight:25>,Final exam Points Grade <Numeric MaxPoints:87 Weight:50>,Calculated Final Grade Numerator,Calculated Final Grade Denominator,Adjusted Final Grade Numerator,Adjusted Final Grade Denominator,End-of-Line Indicator,Unnamed: 48,Unnamed: 49,Final Grade,Unnamed: 51
#20175676,#20175676,1.0,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,3.181818182,5,1.0,,,,1.0,1.0,1.0,1.0,1.0,,1.0,3.5,5,7.0,8.0,12.0,0.0,0.0,5.0,3.0,0.0,0.0,7.0,3.0,5.879128959,15,27.5,,29.74844714,100,,,#,,,28.21,28.21
#20636488,#20636488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,5.0,5,8.0,8.0,13.0,14.5,11.5,0.0,7.0,9.5,6.0,17.0,14.5,13.23357843,15,26.0,48.5,39.48357843,100,,,#,,,37.35,
#20670525,#20670525,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,,,3.181818182,5,,1.0,,1.0,,,,,,1.0,1.0,2.0,5,0.0,8.0,10.0,11.5,0.0,0.0,0.0,0.0,4.0,16.0,0.0,5.45,15,13.7,17.5,19.19431818,100,,,#,,,18.83,
#20720736,#20720736,1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,2.727272727,5,1.0,1.0,,1.0,1.0,1.0,1.0,,,,1.0,3.5,5,4.5,8.0,0.0,12.5,12.0,0.0,5.0,0.0,0.0,0.0,9.5,6.765318627,15,10.0,26.5,19.24259136,100,,,#,,,17.53,
#20729953,#20729953,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,7.0,7.0,11.0,12.0,11.5,7.5,4.0,8.0,6.5,16.0,16.0,12.01464932,15,32.5,66.0,42.32714932,100,,,#,,,42.01,
#20729977,#20729977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,4.5,6.0,12.0,7.5,11.5,3.0,6.5,3.0,4.0,7.0,17.0,9.514583333,15,18.0,29.5,30.76458333,100,,,#,,,30.27,
#20741406,#20741406,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,5.0,4.0,12.0,11.5,9.5,4.0,3.5,0.0,5.0,15.0,16.5,9.600754148,15,26.5,56.5,36.16325415,100,,,#,,,35.56,
#20757514,#20757514,1.0,1.0,1.0,,,1.0,,,,1.0,,,2.272727273,5,1.0,,,,,,1.0,,,,,1.0,5,6.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,0.0,5.1,15,20.5,,21.18522727,100,,,#,,,20.41,
#20771402,#20771402,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,3.636363636,5,1.0,1.0,,1.0,1.0,,,,,,,2.0,5,6.5,7.0,11.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,4.69375,15,19.0,52.0,22.20511364,100,,,#,,,20.79,
#20771536,#20771536,1.0,1.0,1.0,,1.0,1.0,,,,,,,2.272727273,5,1.0,1.0,,1.0,,,,,1.0,1.0,,2.5,5,7.0,5.0,0.0,13.5,9.0,1.0,3.5,1.5,0.0,15.0,2.0,6.950188537,15,13.5,,20.16041581,100,,,#,,,19.09,
#20771768,#20771768,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,7.0,8.0,16.0,14.0,10.0,7.5,4.5,9.0,9.0,17.0,15.0,13.22641403,15,31.5,44.5,42.91391403,100,,,#,,,42.08,
#20778473,#20778473,1.0,,,,,1.0,,1.0,1.0,1.0,,1.0,2.727272727,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,8.0,8.0,13.0,14.0,12.0,9.5,5.5,9.0,10.0,15.5,16.0,13.72041855,15,37.5,80.5,44.88519128,100,,,#,,,43.94,
#20778550,#20778550,,,1.0,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,3.636363636,5,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5,7.5,8.0,11.0,14.0,11.0,0.0,6.0,7.5,6.0,18.0,18.0,12.74448529,15,27.0,60.5,38.25584893,100,,,#,,,36.39,
