contig 	 read_length
NM_014752.3	798
NR_162149.1	346
NM_001242830.2	2857
NM_001301856.2	1
NM_001242828.2	1
NM_021814.5	1
NM_001242830.2	416
NM_021814.5	1
NM_001301856.2	1
NM_000978.4	659
NM_004424.5	642
NM_001288778.2	1
NM_001288776.2	1
NM_001483.3	2182
NM_001202469.2	1
*	1034
NM_007209.4	522
NM_198066.4	1068
NM_001330676.2	1211
NM_001102667.2	1
NM_002789.6	1
NM_001330675.2	1
NM_001102668.3	1
NM_001330673.2	1
NM_001190708.2	452
NM_001190452.2	1
NM_001190472.2	1
NM_001190487.2	1
NM_001190702.2	77
NM_001006.5	1573
NM_000981.4	845
NM_001330200.1	1
NM_001330200.1	51
NM_000981.4	1
*	620
NM_016255.3	2847
NM_005005.3	1792
NM_001278646.2	1
NM_001311168.2	1
NM_001278645.2	1
NM_005005.3	346
NM_001311168.2	1
NM_001278646.2	1
NM_001689.5	806
NM_001002258.5	1
NM_001190329.2	1
NM_001028.3	948
NM_001028.3	339
NM_001349096.2	434
NM_001349103.2	1
NM_001258316.2	1
NM_001258315.2	1
NM_001349101.2	1
NM_001349102.2	1
NM_005998.5	1796
NM_001008800.3	1
NR_036564.2	1
NR_036565.2	1
*	774
NM_001005.5	1199
NM_001260506.2	1
NM_001256802.2	1
NM_001260507.2	1
NM_032351.6	3218
NM_001278279.3	1
NM_032351.6	1444
NM_002415.2	642
NR_038911.1	1
NM_001286119.2	671
NM_001286118.2	1
NM_001286120.2	1
NM_001286116.1	1
NM_001286117.2	1
NM_021825.4	1
NM_006082.3	1465
NM_021821.4	1875
NM_001190864.2	1
NM_001867.3	476
NM_001867.3	59
NM_021109.4	747
NM_003094.4	702
NM_001328637.2	1
NM_001304464.2	1
NM_001328638.2	1
NR_130746.2	1
NM_001346546.2	1712
NM_000755.5	1
NM_001346549.2	1
NM_001257363.3	1
NM_004003.4	1
NM_001346547.2	1
NM_001382472.1	1375
NM_001382471.1	1
NM_001382474.1	1
NM_014584.3	1
NM_001382466.1	1
NM_001382464.1	1
NM_000971.4	1539
NM_001363737.2	1
NM_000971.4	623
NM_001363737.2	1
*	207
NM_015523.4	1054
NM_018011.4	1873
NR_036462.2	275
NM_199294.3	1
NM_001270517.2	1
NM_000978.4	622
NM_080821.3	181
NM_004549.6	716
NM_001204055.2	1
NM_012145.4	528
NM_001320904.2	1
NM_001320902.2	1
NR_033255.2	1
NM_001165031.2	1
NM_001320903.2	1
NM_002802.3	1590
NM_001330212.2	1
NM_001321732.2	1031
NM_016222.4	1
NM_001321830.2	1
NM_016222.4	353
NM_001321830.2	1
NM_001321732.2	1
NM_017446.4	248
NM_080794.4	1
NM_005192.4	934
NM_001330173.2	1
NM_001130851.2	1
NM_021109.4	717
NM_014172.6	549
NM_001287342.2	1
NR_109808.2	1
NM_001287343.2	1
NM_001135861.3	1
NR_109807.2	1
*	590
NM_001207.5	1673
NM_001037637.2	1
NM_001207.5	671
NM_001037637.2	1
NM_177433.3	2354
NM_014599.6	1
NM_201222.3	1
NM_000976.4	1281
NM_000976.4	518
NM_001328637.2	674
NM_001304464.2	1
NM_003094.4	1
NR_130746.2	1
NM_001328638.2	1
NR_046172.2	4398
NM_001256412.2	1
NM_021252.5	1
NM_001256415.2	1
NM_001256410.2	1
NM_001256411.2	1
NM_001256410.2	1805
NR_002315.1	1097
NM_002107.7	1
NM_001379047.1	1
NM_001379046.1	1
NM_001379045.1	1
NM_001379043.1	1
NM_024042.4	893
NM_001256721.1	904
NM_006430.4	1
NM_006430.4	203
NM_001256721.1	1
NM_172177.5	1381
NM_014050.4	1
NR_038159.2	1
NR_038160.2	1
NR_038161.2	1
NM_014050.4	527
NM_172177.5	1
NM_001035006.5	490
NM_001369555.1	1
NM_001199341.3	1
NM_001199340.2	1
NM_001199344.3	1
NM_001199345.2	1
NM_015659.3	1640
NM_015659.3	128
NM_002014.4	710
NM_002014.4	168
NM_001143985.1	743
NM_003860.4	1
*	2856
NM_006164.5	2751
NM_001313902.1	1
NM_001313900.1	1
NM_001145412.3	1
NM_001313901.1	1
NM_001145413.3	1
NM_000661.5	1214
NM_001024921.4	1
NM_000661.5	427
NM_001024921.4	1
NM_032364.6	1768
NM_014182.5	1
NR_038899.1	975
NR_038898.1	1
*	1379
NM_001540.5	962
NR_120457.2	1419
NM_021204.5	1
NM_001292017.2	1
NM_023933.3	960
NM_001271285.2	1
NM_001387350.1	1099
NM_001387355.1	1
NM_001136011.2	1
NM_001387353.1	1
NM_001136007.2	1
NM_001387349.1	1
NM_001330200.1	558
NM_000981.4	1
NM_000981.4	755
NM_001330200.1	1
NM_000909.6	4919
NM_000909.6	1859
NM_001030.6	660
NM_001349946.2	1
NM_001349947.2	1
NM_001317981.2	1211
NM_016093.4	1
NM_001317980.2	1
NM_001317982.2	1
NM_001317981.2	496
NM_001317982.2	1
NM_001317980.2	1
NM_018719.5	2173
NM_001127370.3	1
NM_001127371.3	1
NM_001190702.2	1019
NM_001190470.2	87
NM_001190702.2	1
NM_020243.5	1099
NM_003610.4	1629
NM_001015885.2	1
NR_037942.2	121
NM_001134773.3	1
NR_037943.2	1
NM_001134772.3	1
NM_001204868.2	1
NM_014321.4	2470
NR_037620.2	1
NM_014175.4	1491
NR_002578.3	930
NR_152529.1	1
NR_152531.1	1
NR_152532.1	1
NR_152521.1	1
NR_152523.1	1
NR_152528.1	161
NR_003940.1	68
NM_021104.2	529
NM_001035267.2	1
NM_001177413.1	433
NM_001135592.2	1
NM_002954.6	1
NM_006082.3	2055
NM_000981.4	880
NM_001330200.1	1
NM_001270550.1	647
NM_001012334.2	1
NM_001270551.3	1
NM_002391.6	1
NM_001270552.3	1
NM_001012333.3	1
NM_000978.4	463
NM_001195518.2	1426
NM_006077.4	1
NM_001195519.2	1
NM_001363513.2	1
NM_002797.5	1217
NM_001144932.3	1
NM_001355010.2	535
NM_001355006.2	1
NM_199185.4	1
NM_002520.7	1
NM_001355007.2	1
NR_149149.2	1
NM_006013.5	818
NM_001303624.2	1
NM_001303625.1	1
NM_001303626.1	1
NM_001256580.2	1
NM_000967.4	322
NM_001033853.2	1
NM_001113202.2	1303
NM_001320193.2	1
NM_005594.6	1
NM_001113201.3	1
NM_001365896.1	1
NM_001113203.3	1
NM_001113203.3	177
NM_001006639.2	1184
NM_004780.3	1
NM_001006640.2	1
NM_001035006.5	909
NM_001199341.3	1
NM_000985.5	1
NM_001369558.1	1
NM_001199343.3	1
NM_001369557.1	1
NM_001199340.2	209
NM_001282719.2	413
NM_001282722.2	1
NM_001282720.2	1
NR_104233.2	1
NM_001282721.2	1
NM_021925.4	1
NM_001300981.2	312
NM_021130.5	1
NM_018396.3	706
NM_001151.4	1347
NM_021109.4	761
NM_001545.3	930
NM_001303265.2	1
NM_003133.6	2451
NM_001130440.2	1
NM_001130440.2	330
NM_003133.6	1
NM_000989.4	983
NM_000989.4	134
NM_002869.5	3131
NM_001243719.2	1
NM_001243718.2	1
NM_198896.2	1
*	457
NM_001412.4	871
NM_001012.2	825
NM_006713.4	1262
NM_006713.4	454
NM_001330200.1	622
NM_000981.4	1
