contig 	 read_length
*	417
NM_001261.4	457
NR_003286.4	213
NR_046235.3	1
NM_000821.7	300
NM_005911.6	1
NM_001142269.4	1
*	1865
*	572
NM_014465.4	526
NR_110133.1	1
NR_126435.1	1
NR_002728.3	1
NM_024813.3	1
NR_047679.1	1
*	210
*	211
NR_046235.3	1019
NR_003287.4	1
*	276
NR_046235.3	372
NR_003287.4	1
*	440
NM_001190470.2	486
*	344
*	720
*	190
*	1314
NR_003287.4	1954
NR_046235.3	1
NM_001190702.2	906
NM_145702.4	366
NR_038254.1	1
NR_038253.1	1
NR_038255.1	1
NM_001322814.2	1494
NM_001322815.2	1
NM_001322819.2	1
NM_001322820.2	1
NM_000636.4	1
NR_145974.1	1
NR_002728.3	313
*	493
*	271
*	919
NM_021104.2	479
NM_001035267.2	1
NM_001350578.2	1
NM_001350575.2	1
NR_026947.1	2023
NM_175885.4	1
NR_037771.2	1
NM_007190.4	1
NM_001253884.2	1
NM_025144.4	1
NM_175885.4	189
NM_001206426.2	570
NM_001206427.2	1
NM_032747.4	1
NR_034022.1	1074
NR_037901.1	1
NM_152436.3	1
NM_001366783.1	1
NM_001007022.3	1
NM_020729.3	1
NM_001353179.1	217
*	711
NM_001317770.3	535
NM_017592.4	1
NR_133915.3	1
*	383
*	272
*	1033
*	1714
*	898
*	3176
NM_001024948.3	2592
*	503
NR_046235.3	1804
NR_003286.4	1
*	882
NM_014018.3	528
NM_001387778.1	1
NM_001190470.2	463
NM_001190702.2	1
NR_117089.1	1248
NM_001291737.1	1
NM_001291738.1	1
NR_117090.1	1
NM_001359084.1	1
NM_013230.3	1
NM_001291739.1	466
*	317
*	1060
NM_001190452.2	245
NM_007344.4	2480
NR_134525.2	1
NM_001190470.2	749
NM_001190702.2	1
NR_046235.3	384
NM_000303.3	3327
NM_000303.3	728
NM_001195427.2	1183
NR_036608.2	1
NM_003016.4	1
NM_001321483.2	641
NM_001022.4	1
NM_001321484.2	1
NM_001321485.2	1
NM_174899.5	898
*	376
NR_003286.4	1684
NR_046235.3	1
NR_046235.3	1503
NR_003287.4	1
NM_001012.2	1142
NM_001012.2	407
*	2351
NM_198216.2	473
NM_003091.4	1
NM_030641.4	886
NM_015180.6	665
NM_182914.3	1
NM_001190470.2	685
NM_001190702.2	1
NM_001190470.2	704
NM_001190702.2	1
NM_002751.7	849
NR_003287.4	2806
NR_046235.3	1
NM_001278387.2	2276
NM_001278388.2	1
NM_030674.4	1
NM_001278389.2	1
NM_001077484.2	1
NM_001278389.2	970
NM_001278388.2	1
*	637
NR_046235.3	1437
NR_003286.4	1
NM_001190702.2	460
NM_001190470.2	1
NM_001190470.2	156
NM_001190702.2	1
NR_003287.4	1054
NR_046235.3	1
NM_006045.3	3575
*	251
*	1635
NM_001317186.2	1704
NM_001317185.2	1
NM_004360.5	1
NM_001317184.2	1
NM_001008727.5	296
NM_001308269.3	1
NM_001357.5	2178
NR_033302.2	1
*	509
NR_046235.3	906
NR_003286.4	1
NM_001190702.2	1546
NM_001190470.2	1
NM_001190702.2	485
NM_001190470.2	1
NM_001190452.2	1
*	2681
*	273
*	236
NR_003287.4	1866
NR_046235.3	1
NM_001199344.3	802
NM_001199341.3	1
NM_001199342.3	1
NM_001199343.3	1
NR_046235.3	1050
NR_003286.4	1
NR_046235.3	1661
NR_003286.4	1
NM_006496.4	3137
NM_001330200.1	691
NM_000981.4	1
*	178
*	530
NM_001190470.2	431
NM_001190702.2	1
*	630
*	582
*	2274
NM_001190452.2	462
NM_001190708.2	1
NM_001190472.2	1
NM_001190487.2	1
NM_001190702.2	1
